Genshin Impact 5
もるてちく	モルテ地区
もろいこっぺん	脆い骨片
もんど	モンド
もんどのかこ	モンドの過去
もんどふうはっしゅどぽてと	モンド風ハッシュドポテト
もんどふうやきざかな	モンド風焼き魚
もん・おとんぬき	モン・オトンヌキ
やえ	八重
やえどう	八重堂
やえみこ	八重神子
やききのこみーとぴざ	焼きキノコミートピザ
やきそば	焼きそば
やくくん	薬君
やくちょうのたに	薬蝶の谷
やざだはいけ	ヤザダハ池
やしおりじま	ヤシオリ島
やすなゆうきょう	ヤスナ幽境
やぬすのもん	ヤヌスの門
やぶれたはいこつ	毀れた背骨
やまがくれのげいじゅう	山隠れの猊獣
やまさちのめん	山幸の麺
やまもりきのこ	山盛りキノコ
やむちゃしようぜ	飲茶しようぜ！
ゆいいつのしんそう	唯一の真相
ゆうきゅうのげんのがくしょう	悠久の弦の楽章
ゆうきゅうのげんのざんしょう	悠久の弦の残章
ゆうきゅうのげんのだんしょう	悠久の弦の断章
ゆうきゅうのげんのひびき	悠久の弦の響き
ゆうぐれのたいやき	夕暮れの鯛焼き
ゆうぐれのみ	夕暮れの実
ゆうぐれべりーてぃー	夕暮れベリーティー
ゆうこうたいせん	友好対戦
ゆうしのかんむり	勇士の冠
ゆうしのきたい	勇士の期待
ゆうしのくんしょう	勇士の勲章
ゆうしのこころ	勇士の心
ゆうしのそうこう	勇士の壮行
ゆうすいなるちょうこく	幽邃なる彫刻
ゆうやのわるつ	幽夜のワルツ
ゆうゆうだいこうぐん	幽々大行軍
ゆきおおうこきょうのさいご	雪覆う故郷の最後
ゆきのいのしし	雪のイノシシ
ゆきのいのししおう	雪のイノシシ王
ゆくあき	行秋
ゆふぃ	ユフィ
ゆふとぅん	ユフトゥン
ゆみ	弓
ゆみぞう	弓蔵
ゆめ	夢
ゆめのはやし	夢の林
ゆめみざい	夢見材
ゆーふらしあ	ユーフラシア
よいみや	宵宮
ようかい	溶解
ようこうのはま	瑶光の浜
ようごうざん	影向山
ようとく	葉徳
ようへいのじゅうけん	傭兵の重剣
ようむのかけら	幼夢の欠片
ようめつのとき	溶滅の刻
よぉーよ	ヨォーヨ
よくじょうのうき	翼状の羽鰭
よげんしゃ	予言者
よごれたかめん	汚れた仮面
よりきぶし	寄騎武士
らいうんのいんろう	雷雲の印籠
らいおんごんげん	雷音権現
らいきんのよきょう	来歆の余響
らいけい	雷蛍
らいけいじゅつし	雷蛍術師
らいこうのぷりずむ	雷光のプリズム
らいさいのせいぞんしゃ	雷災の生存者
らいちょう	雷鳥
らいちょうのあわれみ	雷鳥の憐み
らいていのとけい	雷霆の時計
らいていのねんじゅ	雷霆の念珠
らいでん	雷電
らいでんえい	雷電影
らいでんしょうぐん	雷電将軍
らいでんなしょなる	雷電ナショナル
らいれい	雷霊
らおじ	羅おじ
らくらいのぜんちょう	落雷の前兆
らくらくだじゅう	ラクラク駄獣
らざんがーでん	ラザンガーデン
らしゅぬ	ラシュヌ
らずべりー	ラズベリー
らずべりーみずまんじゅう	ラスベリー水まんじゅう
らっか	落霞
らっきーかーどこいん	ラッキーカードコイン
らどみーる	ラドミール
らな	ラナ
らのーる	ラノール
らふまん	ラフマン
らわっと	ラワット
りおせすり	リオセスリ
りかーぶぼう	リカーブボウ
りくつぜめ	理屈責め
りさ	リサ
りさ・みんつ	リサ・ミンツ
りしゃこう	璃沙郊
りしゅぼらんとら	リシュボラン虎
りすいじょうざんしんくん	理水畳山真君
りそうてきじょうきょう	「理想的状況」
りつほん	立本
りとう	離島
りね	リネ
りねっと	リネット
りのれあ	リノレア
りふぁえっと	リファエット
りふぃーちく	リフィー地区
りゅううんしゃくふうしんくん	留雲借風真君
りゅうおう	龍王
りゅうおうのかんむり	龍王の冠
りゅうけつをあびたけん	龍血を浴びた剣
りゅうげつ	流月
りゅうげつのはり	流月の針
りゅうごろしのえいけつたん	龍殺しの英傑譚
りゅうみんのたに	龍眠の谷
りゅどひか・しゅないつぇふな	リュドヒカ・シュナイツェフナ
りょういのはね	良医の羽
りょうしとーすと	漁師トースト
りょうてけん	両手剣
りょうへいのかたな	猟兵の刀
りょどうのけん	旅道の剣
りよんえりあ	リヨンエリア
りりあ	リリア
りりす	リリス
りるのかんししゃ	凛流の監視者
りるぱぁーる	リルパァール
りろーる	リロール
りんぐぼう	リングボウ
りんご	リンゴ
りんじほんこう	臨時本坑
りーゆぇ	璃月
りーゆぇこう	璃月港
りーゆぇさんし	璃月三糸
りーゔぁ	リーヴァ
るか	ルカ
るきなのいずみ	ルキナの泉
るね・ど・ぺとりこーる	ルネ・ド・ペトリコール
るぽーととけいてん	ルポート時計店
るみどぅーすはーばー	ルミドゥースハーバー
るりてい	琉璃亭
るりほう	琉璃峰
るろうがくしょう	流浪楽章
るろうしゃのまんかいのはな	流浪者の満開の花
るー	ルー
るーめら	ルーメラ
れいえん	霊淵
れいくかん	霊矩関
れいくのにわ	霊枢の庭
れいこう	霊光
れいこうかげろう	霊光カゲロウ
れいこうひゃくしゅ	霊光百種
れいしん	霊芯
れいじん	冷刃
れいせいせんにく	冷製鮮肉
れいせいにくもりあわせ	冷製肉盛り合わせ
れいめいのしんけん	黎明の神剣
れいもうさん	霊濛山
れいら	レイラ
れいんどっと	レインドット
れきせんのしゅりょうゆみ	歴戦の狩猟弓
れきせんのやさき	歴戦の矢先
れざー	レザー
れしゅっつのくろっくわーくこうぼう	レシュッツのクロックワーク工房
れっかをわたるけんじゃ	烈火を渡る賢者
れっしぐ・ろーれんす	レッシグ・ローレンス
れっちゅうすなはら	列柱砂原
れっぷうのじゅうしゃ	烈風の従者
れつかいか	烈開花
れつじつのこうし	烈日の後嗣
れでぃどっぐ	レディドッグ
れもでぃえーる	レモディエール
れりる	レリル
れんじげーじ	レンジゲージ
れんぶひきょう	煉武秘境
ろあるて	ロアルテ
ろう	ロウ
ろうが	狼牙
ろうこなやさき	牢固な矢先
ろうちゃじゅのおか	老茶樹の丘
ろかのむかしがたり	炉火の昔語り
ろくかのいけ	漉華の池
ろさりあ	ロサリア
ろざりん・くるーずちか・ろーえふぁるた	ロザリン・クルーズチカ・ローエファルタ
ろっくだんごぎゅうにゅう	ロック団子牛乳
ろはうぇい	ロハウェイ
ろまりたいむはーばー	ロマリタイムハーバー
ろれんつぉ	ロレンツォ
ろーうぃっく	ローウィック
ろーかぱーらみつりん	ローカパーラ密林
ろーでしあ	ローデシア
ろーる	ロール
ろーるふぇーず	ロールフェーズ
わかたけに	若竹煮
わかみず	若水
わかむらさき	若紫
わくかうはま	ワクカウ浜
わすれられしみち	忘れられし道
わたつみじま	海祇島
わはくえん	和璞鳶
わひっど	ワヒッド
わーぐなー	ワーグナー
んじぇりっくあぷりしあ	アンジェリックアプリシア
ゔぁいんしょっと	ヴァインショット
ゔぁざーりかいろう	ヴァザーリ回廊
ゔぁしぇ	ヴァシェ
ゔぁならーな	ヴァナラーナ
ゔぁねっさ	ヴァネッサ
ゔぁるな	ヴァルナ
ゔぁーじる	ヴァージル
